50000002Ramirez             Skyler         19890329XHIST20240722 2.58skyler.ramirez2@student.mcc.edu         
50000003Davis               Sophia         19970808MPHYS20250519 3.81sophia.davis3@student.mcc.edu           
50000004Rodriguez           Evan           19891127FARTS20240907 2.37evan.rodriguez4@student.mcc.edu         
50000005Rodriguez           Alex           19900617MBUSN20231223 2.88alex.rodriguez5@student.mcc.edu         
50000006Garcia              Mia            20011225MBIOL20230313 3.55mia.garcia6@student.mcc.edu             
50000007Ramirez             Jordan         19910926MPHYS20231113 2.57jordan.ramirez7@student.mcc.edu         
50000008Lopez               Ethan          20000429FCSCI20240926 3.77ethan.lopez8@student.mcc.edu            
50000009Martin              Ava            19931206FBIOL20250216 2.47ava.martin9@student.mcc.edu             
50000010Clark               Parker         20021115FBIOL20230228 3.58parker.clark10@student.mcc.edu          
50000011Whitehead           Ava            19971017MMATH20241104 2.45ava.white11@student.mcc.edu             
50000012Lewis               Parker         20061030FENGL20231011 3.10parker.lewis12@student.mcc.edu          
50000013Smith               Isabella       19900215XACCT20240912 3.58isabella.smith13@student.mcc.edu        
50000014Jackson             Taylor         19980910XBUSN20231108 2.17taylor.jackson14@student.mcc.edu        
50000015Martin              Adrien         20040722MBIOL20230509 3.72adrien.martin15@student.mcc.edu         
50000016Brown               Logan          20070209XCOMM20230712 3.39logan.brown16@student.mcc.edu           
50000017Williams            Sophia         19960603MBIOL20240507 2.48sophia.williams17@student.mcc.edu       
50000018Harris              Drew           19900913XARTS20241028 2.52drew.harris18@student.mcc.edu           
50000019Martinez            Harper         19910711XHIST20240630 3.78harper.martinez19@student.mcc.edu       
50000020ZZZ_ANDERSON_TEST   Taylor         20050612MENGL20240519 2.74taylor.anderson20@student.mcc.edu       
50000021Lopez               Reese          19970705FBUSN20250305 3.33reese.lopez21@student.mcc.edu           
50000022Davis               Isabella       20020130MARTS20250730 3.51isabella.davis22@student.mcc.edu        
50000023Thompson            Morgan         20060718MPSYC20250201 3.51morgan.thompson23@student.mcc.edu       
50000024Taylor              Demo           19850907FHIST20231203 2.88mason.taylor24@student.mcc.edu          
50000025Gonzalez            Evan           19900910MHIST20250508 2.35evan.gonzalez25@student.mcc.edu         
50000026Miller              Rowan          19940905FPSYC20231226 2.83rowan.miller26@student.mcc.edu          
50000027Robinson            Olivia         19940625FENGL20250105 2.58olivia.robinson27@student.mcc.edu       
50000028Ramirez             Parker         20040530MCHEM20241208 3.30parker.ramirez28@student.mcc.edu        
50000029Williams            Noah           19921009XCOMM20240817 2.53noah.williams29@student.mcc.edu         
50000030Garcia              Noah           20001222FCOMM20240129 2.03noah.garcia30@student.mcc.edu           
50000031Lee                 Harper         19941012XMATH20230124 2.32harper.lee31@student.mcc.edu            
50000032Sanchez             Morgan         20020513MARTS20240711 3.11morgan.sanchez32@student.mcc.edu        
50000033Taylor              Liam           20070209XCHEM20241212 3.08liam.taylor33@student.mcc.edu           
50000034Robinson            Taylor         20041108MBUSN20240810 2.76taylor.robinson34@student.mcc.edu       
50000035Davis               Alex           20070924FMATH20230816 3.72alex.davis35@student.mcc.edu            
50000036Harris              Drew           19850910MCOMM20231110 3.02drew.harris36@student.mcc.edu           
50000037Harris              Jamie          20040909FENGL20230104 2.31jamie.harris37@student.mcc.edu          
50000038Hernandez           Emma           19871107FHIST20250219 2.56emma.hernandez38@student.mcc.edu        
50000039Lopez               Ava            19991205MPHYS20240604 2.40ava.lopez39@student.mcc.edu             
50000040Martinez            Skyler         19921108FCHEM20250430 2.68skyler.martinez40@student.mcc.edu       
